Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,MVP
1,Precious Achiuwa,2023-24,24,NYKTOR,74,18,0,1624,235,469,209,372,26,97,69,112,191,296,487,97,46,68,83,143,565,0.501,0.562,0.268,0.616,0.545,0.529,F,FALSE
2,Bam Adebayo,2023-24,26,MIA,71,71,1,2416,530,1017,515,975,15,42,292,387,159,578,737,278,81,66,162,159,1367,0.521,0.528,0.357,0.755,0.576,0.529,C-F,FALSE
3,Ochai Agbaji,2023-24,23,TORUTA,78,28,0,1641,178,433,116,222,62,211,37,56,74,142,216,83,47,44,64,117,455,0.411,0.523,0.294,0.661,0.497,0.483,G,FALSE
4,Santi Aldama,2023-24,23,MEM,61,35,0,1618,247,568,141,264,106,304,54,87,72,280,352,138,43,54,69,89,654,0.435,0.534,0.349,0.621,0.539,0.528,F,FALSE
5,Nickeil Alexander-Walker,2023-24,25,MIN,82,20,0,1921,236,538,105,203,131,335,52,65,35,132,167,204,64,42,76,143,655,0.439,0.517,0.391,0.8,0.578,0.56,G,FALSE
6,Grayson Allen,2023-24,28,PHO,75,74,0,2513,340,682,135,237,205,445,129,147,48,247,295,227,69,45,95,157,1014,0.499,0.57,0.461,0.878,0.679,0.649,G,FALSE
7,Jarrett Allen,2023-24,25,CLE,77,77,0,2442,519,819,519,813,0,6,233,314,243,568,811,210,53,81,121,147,1271,0.634,0.638,0,0.742,0.664,0.634,C-F,FALSE
8,Timmy Allen,2023-24,24,MEM,5,0,0,125,6,23,6,16,0,7,1,2,4,13,17,5,4,0,2,18,13,0.261,0.375,0,0.5,0.272,0.261,F,FALSE
9,Jose Alvarado,2023-24,25,NOP,56,0,0,1028,142,345,64,138,78,207,35,52,25,103,128,117,59,15,40,89,397,0.412,0.464,0.377,0.673,0.54,0.525,G,FALSE
10,Kyle Anderson,2023-24,30,MIN,79,10,0,1782,199,433,188,385,11,48,97,137,60,213,273,331,71,47,91,128,506,0.46,0.488,0.229,0.708,0.513,0.472,F-G,FALSE
11,Giannis Antetokounmpo,2023-24,29,MIL,73,73,1,2567,837,1369,803,1245,34,124,514,782,196,645,841,476,87,79,250,210,2222,0.611,0.645,0.274,0.657,0.649,0.624,F-G,FALSE
12,Thanasis Antetokounmpo,2023-24,31,MIL,34,0,0,155,16,30,16,29,0,1,0,2,7,6,13,17,7,4,14,24,32,0.533,0.552,0,0,0.518,0.533,F,FALSE
13,Cole Anthony,2023-24,23,ORL,81,0,0,1817,332,763,239,488,93,275,180,218,64,247,311,236,64,37,126,175,937,0.435,0.49,0.338,0.826,0.545,0.496,G,FALSE
14,OG Anunoby,2023-24,26,NYKTOR,50,50,0,1702,282,577,180,310,102,267,67,89,47,161,208,107,68,36,81,119,733,0.489,0.581,0.382,0.753,0.595,0.577,F,FALSE
15,Ryan Arcidiacono,2023-24,29,NYK,20,0,0,45,0,6,0,0,0,6,0,0,0,8,8,4,2,0,2,5,0,0,,0,,0,0,G,FALSE
16,Deni Avdija,2023-24,23,WAS,75,75,0,2257,406,803,318,568,88,235,202,273,84,456,540,286,60,36,160,185,1102,0.506,0.56,0.374,0.74,0.597,0.56,G-F,FALSE
17,Deandre Ayton,2023-24,25,POR,55,55,0,1784,427,749,426,739,1,10,65,79,176,433,609,90,56,42,99,109,920,0.57,0.576,0.1,0.823,0.587,0.571,C,FALSE
18,Udoka Azubuike,2023-24,24,PHO,16,0,0,113,16,23,16,23,0,0,3,13,11,21,32,3,1,6,4,17,35,0.696,0.696,,0.231,0.609,0.696,C,FALSE
19,Ibou Badji,2023-24,21,POR,22,1,0,226,14,22,14,22,0,0,6,12,20,31,51,13,3,20,15,46,34,0.636,0.636,,0.5,0.623,0.636,C,FALSE
20,Marvin Bagley III,2023-24,24,DETWAS,50,25,0,1053,239,408,230,385,9,23,96,126,130,182,312,55,20,33,59,81,583,0.586,0.597,0.391,0.762,0.629,0.597,F-C,FALSE
21,Amari Bailey,2023-24,19,CHO,10,0,0,65,8,24,7,16,1,8,6,7,6,3,9,7,3,0,4,2,23,0.333,0.438,0.125,0.857,0.425,0.354,G,FALSE
22,Patrick Baldwin Jr.,2023-24,21,WAS,38,7,0,493,59,155,28,58,31,97,19,28,17,106,123,29,18,15,19,56,168,0.381,0.483,0.32,0.679,0.502,0.481,G-F,FALSE
23,LaMelo Ball,2023-24,22,CHO,22,22,0,711,183,423,113,226,70,197,90,104,29,84,113,176,40,4,83,79,526,0.433,0.5,0.355,0.865,0.561,0.515,G,FALSE
24,Mo Bamba,2023-24,25,PHI,57,17,0,740,97,198,72,134,25,64,34,50,77,161,238,41,22,60,39,101,253,0.49,0.537,0.391,0.68,0.575,0.553,C,FALSE
25,Paolo Banchero,2023-24,21,ORL,80,80,1,2799,640,1407,521,1056,119,351,405,559,82,472,554,431,71,47,247,153,1804,0.455,0.493,0.339,0.725,0.546,0.497,F,FALSE
26,Desmond Bane,2023-24,25,MEM,42,42,0,1443,360,776,223,416,137,360,140,161,36,149,185,230,43,22,112,120,997,0.464,0.536,0.381,0.87,0.589,0.552,G,FALSE
27,Dalano Banton,2023-24,24,BOSPOR,54,9,0,1047,202,500,143,301,59,199,94,120,41,137,178,127,33,20,77,64,557,0.404,0.475,0.296,0.783,0.504,0.463,G-F,FALSE
28,Dominick Barlow,2023-24,20,SAS,33,1,0,420,56,113,53,104,3,9,29,42,45,68,113,36,12,14,9,47,144,0.496,0.51,0.333,0.69,0.548,0.509,F,FALSE
29,Harrison Barnes,2023-24,31,SAC,82,82,0,2381,347,732,198,347,149,385,157,196,67,182,249,99,54,12,58,98,1000,0.474,0.571,0.387,0.801,0.611,0.576,F,FALSE
30,Scottie Barnes,2023-24,22,TOR,60,60,1,2094,447,942,346,646,101,296,196,251,141,353,494,363,75,88,165,118,1191,0.475,0.536,0.341,0.781,0.566,0.528,G-F,FALSE
31,RJ Barrett,2023-24,23,NYKTOR,58,58,0,1838,436,880,346,630,90,250,208,291,53,262,315,193,31,22,126,129,1170,0.495,0.549,0.36,0.715,0.58,0.547,G-F,FALSE
32,Charles Bassey,2023-24,23,SAS,19,0,0,205,29,40,29,39,0,1,5,6,23,53,76,21,8,17,15,31,63,0.725,0.744,0,0.833,0.739,0.725,C,FALSE
33,Emoni Bates,2023-24,20,CLE,15,0,0,133,15,49,5,16,10,33,1,4,1,13,14,10,1,2,8,5,41,0.306,0.313,0.303,0.25,0.404,0.408,G,FALSE
34,Keita Bates-Diop,2023-24,28,BRKPHO,53,8,0,665,72,166,51,97,21,69,32,42,31,79,110,38,25,22,15,35,197,0.434,0.526,0.304,0.762,0.534,0.497,F,FALSE
35,Nicolas Batum,2023-24,35,LACPHI,60,38,0,1529,116,256,43,71,73,185,15,21,70,178,248,128,48,38,40,109,320,0.453,0.606,0.395,0.714,0.603,0.596,F-G,FALSE
36,Darius Bazley,2023-24,23,PHIUTA,9,0,0,152,18,30,16,22,2,8,10,12,8,20,28,7,6,7,8,3,48,0.6,0.727,0.25,0.833,0.68,0.633,F,FALSE
37,Bradley Beal,2023-24,30,PHO,53,53,0,1767,377,735,276,500,101,235,109,134,54,178,232,265,52,27,131,127,964,0.513,0.552,0.43,0.813,0.607,0.582,G,FALSE
38,Malik Beasley,2023-24,27,MIL,79,77,0,2337,320,722,96,180,224,542,25,35,41,249,290,108,59,9,54,158,889,0.443,0.533,0.413,0.714,0.603,0.598,G,FALSE
39,MarJon Beauchamp,2023-24,23,MIL,48,1,0,608,81,166,51,91,30,75,19,28,22,77,99,31,13,7,27,54,211,0.488,0.56,0.4,0.679,0.592,0.578,G,FALSE
40,Jules Bernard,2023-24,24,WAS,19,0,0,149,29,64,18,35,11,29,5,9,10,16,26,16,3,1,8,14,74,0.453,0.514,0.379,0.556,0.544,0.539,F,FALSE
